       Omega           X           Y   Intensity
      346.00      302.00      866.00     110.307
      346.00      898.00     1990.00      81.042
      365.00      301.00      873.00     183.470
      372.00      300.00      876.00     192.475
      378.00      300.00      878.00     181.219
      393.00      303.00      863.00     249.880
      402.00      302.00      867.00     284.773
      424.00      304.00      861.00     361.312
      348.00      368.50      367.00      86.670
      351.00      483.00     1387.00     399.582
      373.00      482.00     1385.00     100.177
      386.67      484.33     1390.33     195.852
      402.00      499.00     1414.00      74.289
      406.00      488.00     1395.00     901.593
      351.00      517.00      944.00     230.745
      356.00      531.00      885.00      66.409
      358.00      516.00      945.00     210.484
      358.00      519.00      933.00     157.582
      366.00      519.00      933.00     181.219
      374.00      528.00      894.00      92.298
      387.00      519.00      937.00     251.005
      387.00      527.00      897.00     117.061
      399.00      518.00      940.00     258.884
      401.00      525.00      904.00     136.196
      409.00      526.00      901.00     157.582
      410.00      517.00      942.00     240.875
      415.00      525.00      905.00     164.335
      417.00      519.00      929.00      65.284
      423.00      524.00      908.00     183.470
      431.00      516.00      945.00     176.717
      437.00      518.50      931.00      79.916
      438.00      516.00      946.00     146.326
      452.00      518.00      934.00      86.670
      452.00      522.00      914.00     343.303
      453.00      515.00      947.00     144.075
      459.00      515.00      947.00     127.191
      459.00      522.00      915.00     374.819
      460.00      517.00      935.00      92.298
      351.00      723.00     1446.00    2169.000
      371.00      723.00     1445.00     626.950
      387.00      725.00     1447.00    1237.017
      406.50      729.00     1449.00    4936.811
      436.00      735.00     1453.00    4670.048
      348.00      787.00      975.00     615.694
      417.00      786.00      984.00      75.414
      427.00      786.00      984.00      58.530
      349.00      836.00      497.00    5429.817
      373.00      842.00      494.00    8163.860
      381.00      853.00      493.00    2223.028
      399.00      856.00      491.00     562.792
      414.00      827.00      500.00     606.690
      417.00      851.00      494.00    1014.151
      435.00      847.00      495.00    5034.737
      452.00      838.00      497.00    6950.481
      351.00     1169.00       65.00     388.326
      348.00     1225.00     1552.00     258.884
      351.00     1204.00     1561.00    1250.524
      368.00     1208.50     1560.00    3926.037
      385.00     1215.00     1557.00    3736.939
      348.00     1213.00     1508.00      93.423
      348.00     1336.00      613.00    3393.636
      348.00     1331.00      553.00     176.717
      351.00     1519.00     1024.00      66.409
      362.00     1520.00     1025.00      67.535
      371.00     1520.00     1025.00      73.163
      379.00     1518.00     1026.00      64.158
      385.00     1518.00     1028.00      64.158
      393.00     1518.00     1025.00      64.158
      405.00     1518.00     1030.00      66.409
      420.00     1518.00     1027.00      65.284
      429.00     1519.00     1028.00      66.409
      438.00     1518.50     1028.00      66.409
      444.00     1518.00     1028.00      69.786
      451.00     1518.00     1029.00      65.284
      461.00     1518.00     1029.00      69.786
      358.00     1653.00     1870.00     310.661
      351.00      732.00     1506.00      68.661
      359.00      721.00     1500.00     115.935
      352.00      931.00      519.00     103.554
      352.00      657.00     1932.00      67.535
      357.00      853.00      539.00      92.298
      358.00     1077.00      549.00    1258.403
      376.00     1082.00      548.00    1513.910
      361.00     1413.00      129.00     298.280
      359.00     1204.00     1513.00     109.182
      359.00     1856.00      369.00     113.684
      364.00     1149.00     1756.00      88.921
      366.00      349.00      388.00     148.577
      387.00     1319.00      601.00    5138.291
      395.00     1323.00      602.00    8145.851
      423.00     1330.00      611.00    2943.402
      442.00     1329.00      610.00     856.569
      459.00     1331.00      611.00    1212.254
      463.00     1307.00      593.00     454.736
      371.00      420.00     1879.50      96.800
      373.00      963.00     1504.00     209.359
      376.00      984.00     1504.00      82.168
      392.00      969.00     1504.00     868.951
      380.00      814.00      519.00     208.233
      387.00      834.00      547.00     429.973
      382.00     1340.00      561.00     103.554
      386.00     1132.00       61.00     443.480
      387.00      923.00     1992.00     336.550
      387.00      728.00     1504.00      87.796
      387.00      824.00      518.00      95.675
      401.00      431.00     1888.00      92.298
      404.00      828.50      516.00      59.656
      405.00      831.00      514.00      59.656
      410.00      840.00      543.00     160.959
      417.00      850.00      543.00      83.293
      435.00     1984.00     1416.00     242.001
      463.00     1977.00     1432.00      86.670
      411.00     1093.00      552.00     114.810
      414.00     1087.00      553.00     109.182
      413.00      839.00      544.00     123.814
      422.00      849.00      544.00     136.196
      421.00     1618.00      165.00      96.800
      431.00     1628.00      169.00     159.833
      428.00      297.00      895.00      61.907
      452.00     1110.00     1991.00     137.321
      452.00     1669.00     1857.00     159.833
      463.00     1670.00     1856.00     121.563
      452.00      925.00     1697.00     109.182
      459.00     1875.00      222.00     167.712
      455.00     1157.00       67.00      90.047
      465.00      515.00      947.00     108.056
      467.00      518.00      936.00      87.796
      467.00      521.00      918.00     363.564
      472.00      515.00      948.00     102.428
      473.00      517.00      937.00      88.921
      485.00      517.00      938.00      81.042
      486.00      517.00      941.00      81.042
      491.00      517.00      941.00      81.042
      501.00      517.00      941.00      81.042
      501.00      520.00      925.00     167.712
      515.00      520.00      928.00     141.824
      530.00      516.00      945.00      56.279
      530.00      520.00      930.00     128.317
      536.00      519.00      932.00     127.191
      544.00      519.00      933.00     108.056
      550.00      519.00      932.00     103.554
      564.00      518.33      933.00      81.042
      469.00     1078.00      549.00    1300.049
      474.00     1147.00       65.00     369.192
      465.00     1309.00      594.00     673.099
      477.00     1326.00      606.00    6134.433
      505.00     1319.00      601.00    5475.966
      464.00     1878.00      226.00     119.312
      465.00     1988.00     1405.00      72.037
      479.00     1976.00     1436.00     610.067
      485.00     1976.00     1435.00     580.801
      501.00     1978.00     1431.00     640.457
      501.00     1987.00     1406.00     405.210
      530.00     1980.00     1437.00      69.786
      538.00     1980.00     1437.00      63.033
      473.00      843.00      546.00     171.089
      473.00      685.00     1643.00     135.070
      480.00     1186.00     1748.00     408.587
      491.00     1175.50     1751.00     140.698
      487.00      887.00        8.00      94.549
      501.00      402.00      181.00     495.257
      508.00      714.00     1659.00     140.698
      523.00      701.00     1652.00     173.340
      509.00     1178.00     1750.00      66.409
      545.00     1463.00     1384.00     511.015
      551.00     1464.00     1382.00     508.764
      544.00      856.00      307.00     563.918
      550.00     1181.00     1982.00     569.545
      567.00     1559.00      650.00     866.700
